               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11386,            0.024881,            0.041157,           0.0014806,             0.41389,           0.0024794,          0.00041037,             0.10248,            0.015862,             0.04064,              0.0955,              0.0005,              0.0005
                   1,             0.10081,            0.026009,            0.040794,           0.0019273,             0.54028,           0.0042027,           0.0010797,            0.082899,            0.014503,            0.039441,            0.090099,           0.0010989,           0.0010989
                   2,            0.085274,            0.026907,            0.038227,           0.0028862,             0.77778,            0.012078,           0.0030906,            0.066824,            0.014257,            0.036456,            0.084697,           0.0016966,           0.0016966
                   3,             0.07282,            0.029274,            0.035686,            0.057534,               0.325,            0.096451,            0.024121,            0.059559,            0.013511,            0.035413,            0.079293,           0.0022932,           0.0022932
                   4,            0.063543,             0.02803,            0.033559,             0.43956,             0.28995,              0.1925,            0.049802,            0.058452,            0.013508,            0.032758,            0.073889,           0.0028885,           0.0028885
                   5,            0.056533,            0.026825,            0.032175,               0.108,             0.48519,             0.18824,            0.055736,            0.058834,            0.013685,            0.030739,            0.068483,           0.0034827,           0.0034827
                   6,            0.055381,            0.023617,            0.030386,             0.35143,             0.55409,             0.47074,              0.1666,            0.052955,            0.011423,            0.027708,            0.063076,           0.0040756,           0.0040756
                   7,            0.053454,            0.021875,            0.027864,             0.28048,             0.56528,             0.44496,             0.14104,            0.053669,           0.0092804,            0.025768,            0.057667,           0.0046674,           0.0046674
                   8,             0.05272,            0.021664,            0.026056,             0.23691,             0.71528,             0.41036,             0.10808,             0.05511,           0.0080725,            0.022806,            0.052258,            0.005258,            0.005258
                   9,            0.051587,            0.020436,            0.024662,             0.23893,             0.54722,             0.30663,            0.097635,            0.053773,           0.0077411,            0.020771,            0.046847,           0.0058474,           0.0058474
                  10,            0.050699,            0.019343,            0.022274,             0.43257,             0.55789,             0.52718,             0.25924,            0.048355,           0.0069312,            0.016454,            0.041436,           0.0064357,           0.0064357
                  11,            0.050012,             0.01876,            0.019835,             0.38008,             0.65001,              0.3749,             0.15308,            0.052475,           0.0069556,            0.017628,            0.036023,           0.0070227,           0.0070227
                  12,            0.051286,            0.017345,             0.01871,             0.49169,             0.61111,                0.56,              0.2449,            0.050021,           0.0063925,            0.015628,            0.030609,           0.0076085,           0.0076085
                  13,            0.050419,            0.016032,            0.015185,             0.46391,             0.62224,                0.52,             0.22399,            0.050327,           0.0064734,            0.015179,            0.025193,           0.0081932,           0.0081932
                  14,            0.048582,             0.01575,            0.013558,             0.54781,             0.63053,             0.63988,             0.32334,             0.04656,           0.0066586,            0.012233,            0.019777,           0.0087766,           0.0087766
                  15,            0.048139,            0.014902,            0.012168,             0.44631,             0.60833,             0.54781,             0.27949,            0.052663,           0.0059912,            0.011214,            0.014359,           0.0093589,           0.0093589
                  16,             0.04742,            0.014548,            0.012265,             0.49918,             0.78249,              0.6229,             0.30732,            0.047349,           0.0066751,            0.014854,           0.0098416,           0.0098416,           0.0098416
