               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11081,            0.031139,            0.040043,           0.0021289,             0.44444,           0.0051085,           0.0015326,             0.07291,            0.020737,            0.026294,              0.0964,              0.0004,              0.0004
                   1,            0.095811,            0.034976,            0.038984,           0.0021332,             0.44444,           0.0065024,           0.0020943,            0.061499,            0.024985,            0.025589,            0.091897,          0.00089703,          0.00089703
                   2,            0.082893,            0.038963,            0.037692,           0.0053099,                   1,            0.049193,            0.012441,            0.050253,            0.029139,             0.02515,            0.087391,           0.0013908,           0.0013908
                   3,            0.072423,             0.03924,            0.035616,           0.0054553,                   1,             0.34589,             0.13609,            0.044389,            0.031885,            0.025049,            0.082881,           0.0018812,           0.0018812
                   4,            0.070432,            0.042732,            0.035298,           0.0055385,                   1,             0.50332,             0.14854,            0.039934,            0.032837,            0.024463,            0.078368,           0.0023683,           0.0023683
                   5,            0.064869,            0.043161,             0.03389,           0.0055124,                   1,             0.37194,              0.1586,            0.038615,            0.031489,            0.023895,            0.073852,           0.0028522,           0.0028522
                   6,            0.062895,            0.046618,            0.032791,            0.073555,             0.33333,             0.23587,            0.047431,            0.039725,            0.027914,            0.022998,            0.069333,           0.0033327,           0.0033327
                   7,            0.061272,            0.038339,            0.030876,             0.45013,             0.33333,             0.30914,             0.13105,            0.038815,            0.026207,            0.022604,             0.06481,           0.0038099,           0.0038099
                   8,            0.061843,            0.036371,             0.02846,             0.60977,             0.66667,             0.47539,             0.22056,            0.036421,            0.024752,            0.020837,            0.060284,           0.0042838,           0.0042838
                   9,            0.060955,            0.033346,            0.027161,             0.73222,             0.65122,             0.77389,             0.38287,            0.038629,            0.024227,             0.01881,            0.055754,           0.0047545,           0.0047545
                  10,            0.061187,            0.032646,            0.025744,             0.87089,             0.66667,               0.995,             0.39855,            0.040821,            0.024685,            0.016187,            0.051222,           0.0052218,           0.0052218
                  11,            0.063266,            0.030904,            0.022648,             0.70197,             0.56505,              0.9675,              0.2767,            0.035152,            0.022047,            0.013449,            0.046686,           0.0056858,           0.0056858
                  12,            0.060755,            0.031228,            0.021878,             0.52908,             0.59426,             0.71917,             0.28543,            0.045266,            0.018796,            0.012273,            0.042147,           0.0061466,           0.0061466
                  13,            0.060964,            0.031729,            0.020671,             0.70929,             0.55556,             0.76631,             0.36191,            0.041737,            0.017706,            0.010208,            0.037604,            0.006604,            0.006604
                  14,            0.064066,            0.028145,            0.019011,             0.60599,             0.55556,              0.6775,             0.23857,            0.041725,            0.018037,           0.0097183,            0.033058,           0.0070581,           0.0070581
                  15,            0.065463,            0.023112,            0.017362,             0.48168,             0.55556,             0.25629,            0.070126,            0.059834,            0.017025,           0.0089539,            0.028509,           0.0075089,           0.0075089
                  16,            0.068424,            0.024655,            0.016382,             0.37763,             0.88889,             0.68589,             0.33052,            0.044726,            0.016268,           0.0076927,            0.023956,           0.0079565,           0.0079565
                  17,            0.067231,            0.024775,               0.016,             0.32772,             0.98014,             0.44783,              0.2192,            0.050676,            0.016193,           0.0075211,            0.019401,           0.0084007,           0.0084007
                  18,            0.073249,            0.024192,            0.016506,             0.14602,             0.66667,              0.1791,            0.044499,            0.058302,            0.015442,           0.0085876,            0.014842,           0.0088416,           0.0088416
                  19,            0.068685,            0.022937,             0.01462,             0.36602,             0.88889,             0.71131,             0.23973,            0.043942,            0.015828,           0.0084984,            0.010279,           0.0092793,           0.0092793
                  20,            0.068785,            0.022741,            0.013745,             0.72108,              0.9717,               0.995,             0.25259,            0.041391,            0.016019,           0.0082581,             0.00934,             0.00934,             0.00934
                  21,            0.059737,            0.024892,            0.014824,             0.37799,                   1,             0.82917,             0.23398,            0.046199,            0.014622,           0.0068207,             0.00934,             0.00934,             0.00934
                  22,            0.055457,            0.025325,            0.015234,             0.54965,                   1,              0.9675,             0.37281,            0.041479,            0.014829,           0.0079445,            0.009307,            0.009307,            0.009307
                  23,            0.046043,            0.023967,             0.01349,             0.75777,                   1,               0.995,             0.44334,            0.042833,            0.016069,           0.0053387,            0.009274,            0.009274,            0.009274
                  24,            0.059274,            0.022426,            0.011512,             0.74519,             0.66667,             0.72967,             0.29074,            0.049092,             0.01612,           0.0054977,            0.009241,            0.009241,            0.009241
                  25,            0.057196,            0.020818,            0.010892,             0.58597,                   1,               0.995,             0.36676,            0.039625,            0.014832,           0.0055653,            0.009208,            0.009208,            0.009208
                  26,            0.054722,            0.020519,              0.0117,             0.54029,                   1,             0.82917,             0.40128,            0.034198,            0.015048,           0.0054279,            0.009175,            0.009175,            0.009175
                  27,            0.047537,            0.023587,             0.01045,             0.64584,                   1,               0.995,             0.51976,            0.027973,            0.014745,           0.0038601,            0.009142,            0.009142,            0.009142
                  28,            0.054536,            0.020256,           0.0089417,             0.55637,                   1,               0.995,             0.29915,            0.048472,            0.014548,           0.0031546,            0.009109,            0.009109,            0.009109
                  29,            0.060365,            0.020128,           0.0096633,             0.39954,                   1,             0.74639,             0.37977,            0.042591,            0.014686,           0.0036461,            0.009076,            0.009076,            0.009076
                  30,            0.054021,            0.019592,           0.0098569,             0.40965,             0.88889,                0.94,             0.52628,            0.033936,            0.015262,            0.003669,            0.009043,            0.009043,            0.009043
                  31,             0.04277,            0.021962,           0.0098324,             0.48029,                   1,               0.995,              0.4811,            0.034211,            0.014974,           0.0031952,             0.00901,             0.00901,             0.00901
                  32,            0.050613,            0.018851,           0.0099389,             0.56027,             0.88889,              0.9675,             0.61386,            0.032878,            0.014315,           0.0030899,            0.008977,            0.008977,            0.008977
                  33,            0.048858,             0.01961,           0.0093575,             0.57508,                   1,               0.995,             0.34259,            0.033797,             0.01468,           0.0032398,            0.008944,            0.008944,            0.008944
