               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11638,             0.02318,            0.040871,           0.0010024,              0.2961,           0.0017316,          0.00039461,             0.10976,            0.018807,            0.041199,              0.0946,              0.0006,              0.0006
                   1,            0.096691,            0.026551,            0.039308,           0.0023429,             0.66147,             0.01204,           0.0017767,            0.076808,            0.022004,            0.038654,            0.088299,           0.0012987,           0.0012987
                   2,            0.080416,            0.031894,            0.036958,            0.003774,             0.97619,            0.096856,            0.025289,            0.066206,            0.022871,            0.035944,            0.081996,            0.001996,            0.001996
                   3,             0.06693,            0.029074,            0.033631,            0.034083,             0.23333,             0.10613,             0.03116,            0.059755,            0.022622,            0.037354,            0.075692,            0.002692,            0.002692
                   4,            0.062915,            0.026399,            0.032051,             0.54253,             0.47706,             0.26802,            0.071412,            0.051123,            0.022274,             0.03235,            0.069387,           0.0033865,           0.0033865
                   5,            0.060021,            0.025354,            0.029832,             0.29541,             0.74675,             0.40825,             0.14638,             0.05231,            0.018759,            0.028569,             0.06308,           0.0040797,           0.0040797
                   6,            0.058589,            0.023155,            0.027021,             0.51797,             0.77273,             0.58976,             0.22423,            0.045467,            0.014818,            0.025008,            0.056771,           0.0047715,           0.0047715
                   7,            0.057102,            0.019862,            0.023778,             0.51266,             0.73863,             0.74446,               0.372,            0.042955,            0.013234,            0.020929,            0.050462,           0.0054619,           0.0054619
                   8,             0.05595,            0.019024,            0.021022,              0.3589,             0.72413,             0.62322,             0.30784,            0.045284,            0.012128,            0.019274,            0.044151,           0.0061509,           0.0061509
                   9,            0.055599,            0.016964,            0.016679,             0.57777,              0.7305,             0.65647,              0.3271,            0.045213,            0.010089,            0.016152,            0.037839,           0.0068385,           0.0068385
                  10,            0.052704,            0.015476,            0.013473,             0.64763,             0.67749,             0.64655,             0.30898,            0.045856,            0.010564,            0.014057,            0.031525,           0.0075248,           0.0075248
                  11,            0.050783,            0.015795,            0.011784,             0.44698,             0.88687,             0.57339,             0.25694,            0.059175,           0.0099878,            0.012998,             0.02521,           0.0082096,           0.0082096
                  12,            0.051407,            0.014682,            0.011222,             0.45288,             0.80259,              0.7114,             0.28116,            0.048098,             0.01113,            0.014557,            0.018893,           0.0088931,           0.0088931
                  13,            0.049235,            0.014393,            0.010675,             0.48671,              0.7099,             0.57596,             0.20245,            0.055882,            0.010518,            0.019574,            0.012575,           0.0095752,           0.0095752
                  14,            0.047943,            0.012989,           0.0092471,             0.58448,             0.75801,             0.66714,             0.32897,            0.052981,            0.014219,            0.013028,           0.0098614,           0.0098614,           0.0098614
                  15,            0.046301,            0.012728,            0.010511,             0.52508,             0.54558,              0.5827,             0.26716,            0.044394,            0.012635,             0.02504,           0.0098614,           0.0098614,           0.0098614
                  16,             0.04265,            0.012668,           0.0088984,             0.71572,             0.77403,              0.7561,             0.36722,            0.044239,            0.012432,            0.019011,           0.0098515,           0.0098515,           0.0098515
                  17,            0.038466,            0.011169,           0.0085147,             0.45586,             0.78355,             0.68704,             0.26381,            0.041869,            0.012737,            0.016065,           0.0098416,           0.0098416,           0.0098416
